checkid,check_amount,check_signed,is_fraud
181,1421.76,1,0
182,2360.91,1,0
183,9741.41,1,0
184,7179.49,1,0
185,1861.2,1,0
186,146.06,1,0
187,3564.06,1,0
188,275.14,1,0
189,5800.98,1,0
190,9812.2,1,0
191,2551.65,1,0
192,3664.63,1,0
193,8958.34,1,0
194,7544.55,1,0
195,8056.29,1,0
196,6781.44,1,0
197,3352.36,1,0
198,7662.61,1,0
199,833.83,1,0
200,4461.62,1,0
201,4227.81,1,0
202,250.84,1,0
203,643.83,1,0
204,1452.84,1,0
205,7669.78,1,0
206,2230.99,1,0
207,3749.65,1,0
208,8048.96,1,0
209,4297.42,1,0
210,8669.25,1,0
211,3146.08,1,0
212,5038.41,1,0
213,4093.78,1,0
214,5325.86,1,0
215,1824.21,1,0
216,3026.24,1,0
217,7395.79,1,0
218,4430.49,1,0
219,9047.56,1,0
220,8401.62,1,0
221,757.95,1,0
222,9451.39,1,0
223,6174.15,1,0
224,9735.67,1,0
225,7681.65,1,0
226,5588.89,1,0
227,9447.93,1,0
228,3503.37,1,0
229,4655.99,1,0
230,1606.47,1,0
231,3892.24,1,0
232,6406.5,1,0
233,570.31,1,0
234,9038.25,1,0
235,8285.16,1,0
236,2706.08,1,0
237,6506.68,1,0
238,1318.59,1,0
239,9496.18,1,0
240,8658.61,1,0
241,1598.62,1,0
242,5748.94,1,0
243,7928.08,1,0
244,7523.72,1,0
245,8648.41,1,0
246,4160.52,1,0
247,8642.86,1,0
248,6934.97,1,0
249,7400.14,1,0
250,7185.89,1,0
251,7654.04,1,0
252,1779.84,1,0
253,1202.47,1,0
254,7920.64,1,0
255,6315.77,1,0
256,767.77,1,0
257,3370.45,1,0
258,8208.92,1,0
259,1389.32,1,0
260,5618.55,1,0
261,5798.38,1,0
262,3491.21,1,0
263,4770.92,1,0
264,2269.98,1,0
265,6752.52,1,0
266,4141.01,1,0
267,1707.32,1,0
268,894.51,1,0
269,7986.39,1,0
270,8943.38,1,0
271,5465.34,1,0
272,4270.24,1,0
273,2335.29,1,0
274,9716.28,1,0
275,6584.69,1,0
276,5492.23,1,0
277,79.71,1,0
278,1116.13,1,0
279,8885.18,1,0
280,6870.22,1,0
281,4186.61,1,0
282,9649.1,1,0
283,3797.17,1,0
284,5280.35,1,0
285,2869.64,1,0
286,911.54,1,0
287,4024.12,1,0
288,8076.69,1,0
289,5169.56,1,0
290,8673.96,1,0
291,2242.63,1,0
292,5750.51,1,0
293,9410.89,1,0
294,220.14,1,0
295,898.99,1,0
296,1524.3,1,0
297,6152.71,1,0
298,8259.04,1,0
299,3252.72,1,0
300,7524.54,1,0
301,2141.2,1,0
302,4905.97,1,0
303,629.48,1,0
304,6612.13,1,0
305,1199.53,1,0
306,4814.7,1,0
307,1827.4,1,0
308,2598.01,1,0
309,240.42,1,0
310,6338.23,1,0
311,7523.79,1,0
312,1632.24,1,0
313,2098.15,1,0
314,3001.37,1,0
315,3228.62,1,0
316,459.94,1,0
317,5147.01,1,0
318,4352.79,1,0
319,7902.01,1,0
320,6331.47,1,0
321,1769.3,1,0
322,3193.49,1,0
323,1968.37,1,0
324,8347.76,1,0
325,1400.89,1,0
326,4513.72,1,0
327,754.13,1,0
328,4212.31,1,0
329,9945.69,1,0
330,4113.26,1,0
331,8534.61,1,0
332,6723.06,1,0
333,5616.73,1,0
334,867.5,1,0
335,2860.3,1,0
336,327.68,1,0
337,6829.16,1,0
338,1832.69,1,0
339,294.15,1,0
340,804.96,1,0
341,9073.49,1,0
342,3155.3,1,0
343,5887.89,1,0
344,9931.52,1,0
345,6806.99,1,0
346,3970.45,1,0
347,3350.9,1,0
348,3360.81,1,0
349,7276.43,1,0
350,4158.36,1,0
351,6602.33,1,0
352,7595.47,1,0
353,8914.89,1,0
354,9977.74,1,0
355,3501.31,1,0
356,3791.85,1,0
357,8456.84,1,0
358,9372.73,1,0
359,3646.53,1,0
360,981.81,1,0
361,5558.87,1,0
362,3783.14,1,0
363,33.42,1,0
364,5484.33,1,0
365,6166.56,1,0
366,9385.85,1,0
367,5534.88,1,0
368,1090.31,1,0
369,1836.78,1,0
370,3120.47,1,0
371,1510.36,1,0
372,6252.35,1,0
373,1038.45,1,0
374,3782.94,1,0
375,6603.21,1,0
376,2.71,1,0
377,8086.42,1,0
378,3566.82,1,0
379,1860.44,1,0
380,3513.46,1,0
381,4974.11,1,0
382,4800.98,1,0
383,7881.74,1,0
384,8500.84,1,0
385,2701.15,1,0
386,2642.6,1,0
387,9799.27,1,0
388,3021.05,1,0
389,4620.89,1,0
390,1061.04,1,0
391,363.4,1,0
392,8668.42,1,0
393,3874.22,1,0
394,9108.64,1,0
395,1484.94,1,0
396,7972.55,1,0
397,2387.36,1,0
398,4159.25,1,0
399,6269.49,1,0
400,2754.34,1,0
401,6015.32,1,0
402,9843.31,1,0
403,13.4,1,0
404,3826.83,1,0
405,6804.75,1,0
406,7777.92,1,0
407,1782.08,1,0
408,7825.36,1,0
409,2254.76,1,0
410,7480.57,1,0
411,2768.28,1,0
412,9141.4,1,0
413,9067.28,1,0
414,6039.98,1,0
415,9012.93,1,0
416,4427.22,1,0
417,5109.09,1,0
418,6674.29,1,0
419,6662.56,1,0
420,9261.48,1,0
421,4763.67,1,0
422,7071.79,1,0
423,5148.29,1,0
424,3809.98,1,0
425,8170.15,1,0
426,8685.67,1,0
427,2563.94,1,0
428,9856.23,1,0
429,9892.79,1,0
430,9241.58,1,0
431,9160.85,1,0
432,1285.45,1,0
433,2104.71,1,0
434,441.6,1,0
435,8595.18,1,0
436,6855.21,1,0
437,954.32,1,0
438,5340.66,1,0
439,3466.43,1,0
440,2346.8,1,0
441,749.67,1,0
442,2638.09,1,0
443,2895.59,1,0
444,5890.8,1,0
445,8704.54,1,0
446,6336.52,1,0
447,4845.8,1,0
448,7907.43,1,0
449,5259.93,1,0
450,9956.08,1,0
451,933.72,1,0
452,8223.79,1,0
453,6569.61,1,0
454,546.04,1,0
455,6238.19,1,0
456,4841.42,1,0
457,194.74,1,0
458,3027.03,1,0
459,549.86,1,0
460,191.82,1,0
461,241.16,1,0
462,9107.32,1,0
463,4557.05,1,0
464,2118.71,1,0
465,6543.24,1,0
466,7429.03,1,0
467,8503.9,1,0
468,8172.14,1,0
469,6271.08,1,0
470,7591.7,1,0
471,164.11,1,0
472,8333.8,1,0
473,7003.29,1,0
474,9086.27,1,0
475,6496.21,1,0
476,8553.45,1,0
477,3966.77,1,0
478,649.67,1,0
479,7026.63,1,0
480,2321.39,1,0
481,5352.33,1,0
482,9067.0,1,0
483,4431.29,1,0
484,1708.66,1,0
485,8739.33,1,0
486,6633.47,1,0
487,1011.65,1,0
488,4674.53,1,0
489,1770.2,1,0
490,8625.18,1,0
491,9127.78,1,0
492,377.92,1,0
493,3086.2,1,0
494,8224.53,1,0
495,1330.45,1,0
496,5229.52,1,0
497,915.18,1,0
498,8966.69,1,0
499,5072.37,1,0
500,9031.3,1,0
501,5688.42,1,0
502,8047.92,1,0
503,8760.81,1,0
504,5165.25,1,0
505,8606.92,1,0
506,1004.9,1,0
507,5531.27,1,0
508,4445.57,1,0
509,2462.24,1,0
510,5000.0,0,1
511,3286.08,1,0
512,8079.29,1,0
513,2593.94,1,0
514,4807.89,1,0
515,8896.55,1,0
516,45.2,1,0
517,1751.99,1,0
518,4286.11,1,0
519,6271.21,1,0
520,8669.6,1,0
521,7299.93,1,0
522,2567.84,1,0
523,9240.01,1,0
524,5898.83,1,0
525,301.5,1,0
526,6473.76,1,0
527,7542.93,1,0
528,1596.28,1,0
529,2425.89,1,0
530,9522.99,1,0
531,7920.73,1,0
532,8050.52,1,0
533,1554.62,1,0
534,9699.33,1,0
535,4905.53,1,0
536,3416.98,1,0
537,151.29,1,0
538,7717.0,1,0
539,6922.86,1,0
540,7422.46,1,0
541,6631.4,1,0
542,5911.51,1,0
543,1096.68,1,0
544,8103.98,1,0
545,4317.16,1,0
546,1365.59,1,0
547,6482.29,1,0
548,3868.93,1,0
549,8786.71,1,0
550,4835.78,1,0
551,8869.45,1,0
552,4741.25,1,0
553,164.03,1,0
554,9664.89,1,0
555,4481.46,1,0
556,7549.87,1,0
557,1859.06,1,0
558,2147.65,1,0
559,7912.03,1,0
560,481.83,1,0
561,7818.95,1,0
562,2221.33,1,0
563,4399.84,1,0
564,7551.54,1,0
565,7546.31,1,0
566,5806.89,1,0
567,1125.21,1,0
568,1895.37,1,0
569,1400.19,1,0
570,2503.32,1,0
571,1267.58,1,0
572,9217.13,1,0
573,8434.9,1,0
574,1501.41,1,0
575,624.26,1,0
576,1897.93,1,0
577,7398.3,1,0
578,7526.41,1,0
579,1964.69,1,0
580,6135.64,1,0
581,1213.19,1,0
582,2578.71,1,0
583,915.1,1,0
584,7727.17,1,0
585,7618.36,1,0
586,8906.29,1,0
587,4275.24,1,0
588,5048.15,1,0
589,1351.33,1,0
590,6566.66,1,0
591,8481.39,1,0
592,3094.27,1,0
593,976.91,1,0
594,8551.58,1,0
595,4017.44,1,0
596,6421.0,1,0
597,3786.93,1,0
598,6459.16,1,0
599,8089.3,1,0
600,2169.42,1,0
601,9155.58,1,0
602,1194.14,1,0
603,9827.95,1,0
604,6707.87,1,0
605,7888.83,1,0
606,9517.85,1,0
607,7824.35,1,0
608,8724.64,1,0
609,9862.44,1,0
610,1491.77,1,0
611,7742.93,1,0
612,9093.38,1,0
613,3182.98,1,0
614,9967.1,1,0
615,6443.46,1,0
616,8255.98,1,0
617,9029.74,1,0
618,5573.75,1,0
619,9162.16,1,0
620,6421.81,1,0
621,9398.02,1,0
622,5712.74,1,0
623,2050.29,1,0
624,194.08,1,0
625,6873.23,1,0
626,6974.7,1,0
627,1947.42,1,0
628,3353.43,1,0
629,9949.06,1,0
630,220.83,1,0
631,5252.83,1,0
632,5683.93,1,0
633,146.6,1,0
634,3538.65,1,0
635,3139.85,1,0
636,3476.72,1,0
637,7635.18,1,0
638,4936.05,1,0
639,2626.05,1,0
640,6493.55,1,0
641,862.49,1,0
642,8668.03,1,0
643,4545.41,1,0
644,4600.44,1,0
645,837.52,1,0
646,662.02,1,0
647,1928.49,1,0
648,5436.83,1,0
649,9776.5,1,0
650,8434.76,1,0
651,9118.58,1,0
652,5630.33,1,0
653,4211.84,1,0
654,4978.71,1,0
655,2062.23,1,0
656,4390.56,1,0
657,4970.56,1,0
658,2827.97,1,0
659,8367.91,1,0
660,6808.55,1,0
661,8228.62,1,0
662,2275.7,1,0
663,3507.19,1,0
664,7576.79,1,0
665,4306.88,1,0
666,7295.52,1,0
667,6820.61,1,0
668,4011.96,1,0
669,2522.13,1,0
670,674.49,1,0
671,2902.8,1,0
672,2992.92,1,0
673,3898.1,1,0
674,7444.98,1,0
675,7254.57,1,0
676,9824.62,1,0
677,2485.98,1,0
678,5179.67,1,0
679,9550.01,1,0
680,1659.01,1,0
681,141.14,1,0
682,9207.68,1,0
683,2408.42,1,0
684,5014.94,1,0
685,5132.52,1,0
686,6995.83,1,0
687,1053.26,1,0
688,122.5,1,0
689,7532.74,1,0
690,669.08,1,0
691,1452.49,1,0
692,1213.56,1,0
693,824.23,1,0
694,6878.64,1,0
695,6054.91,1,0
696,4874.29,1,0
697,1385.2,1,0
698,4147.31,1,0
699,7310.0,1,0
700,5592.32,1,0
701,8140.69,1,0
702,2233.14,1,0
703,4852.47,1,0
704,4159.68,1,0
705,2930.14,1,0
706,140.95,1,0
707,5552.73,1,0
708,9222.17,1,0
709,7325.17,1,0
710,5228.6,1,0
711,7647.36,1,0
712,6826.27,1,0
713,1206.6,1,0
714,2259.14,1,0
715,9094.72,1,0
716,9050.75,1,0
717,9769.75,1,0
718,2590.47,1,0
719,6836.47,1,0
720,148.51,1,0
721,6361.21,1,0
722,8368.19,1,0
723,1321.79,1,0
724,6134.07,1,0
725,1855.54,1,0
726,4325.39,1,0
727,9298.27,1,0
728,2810.8,1,0
729,2317.95,1,0
730,1816.86,1,0
731,7638.31,1,0
732,1300.74,1,0
733,2228.25,1,0
734,2692.44,1,0
735,5316.9,1,0
736,8522.5,1,0
737,3207.09,1,0
738,9624.73,1,0
739,8526.22,1,0
740,1141.47,1,0
741,4347.74,1,0
742,2620.85,1,0
743,5277.87,1,0
744,6167.04,1,0
745,3216.48,1,0
746,7681.79,1,0
747,9300.22,1,0
748,9524.65,1,0
749,6536.95,1,0
750,5854.35,1,0
751,7273.43,1,0
752,3266.31,1,0
753,8986.88,1,0
754,3574.62,1,0
755,3011.52,1,0
756,9438.53,1,0
757,4474.73,1,0
758,7430.02,1,0
759,6749.86,1,0
760,3456.72,1,0
761,1309.02,1,0
762,5098.65,1,0
763,6350.08,1,0
764,3897.83,1,0
765,8247.84,1,0
766,3254.24,1,0
767,8846.79,1,0
768,1299.98,1,0
769,7386.34,1,0
770,4558.86,1,0
771,4983.5,1,0
772,3604.4,1,0
773,5688.94,1,0
774,4054.03,1,0
775,2526.33,1,0
776,3508.39,1,0
777,7949.03,1,0
778,1000.0,0,1
779,6184.6,1,0
780,129.47,1,0
781,8566.9,1,0
782,9917.94,1,0
783,5300.41,1,0
784,3206.15,1,0
785,2177.9,1,0
786,7543.65,1,0
787,8761.22,1,0
788,6961.88,1,0
789,1913.65,1,0
790,809.64,1,0
791,3188.17,1,0
792,5860.77,1,0
793,6908.37,1,0
794,6808.87,1,0
795,3144.19,1,0
796,9882.36,1,0
797,1407.65,1,0
798,5082.0,1,0
799,306.51,1,0
800,6596.86,1,0
801,1430.26,1,0
802,3611.74,1,0
803,5925.11,1,0
804,7549.47,1,0
805,7223.36,1,0
806,3097.58,1,0
807,1551.14,1,0
808,479.13,1,0
809,97.13,1,0
810,8390.45,1,0
811,3194.16,1,0
812,2765.84,1,0
813,6905.92,1,0
814,8129.06,1,0
815,6543.06,1,0
816,8229.16,1,0
817,4779.02,1,0
818,9978.79,1,0
819,7744.34,1,0
820,3641.3,1,0
821,4283.03,1,0
822,5097.97,1,0
823,7032.36,1,0
824,3048.57,1,0
825,3718.35,1,0
826,5360.39,1,0
827,4079.39,1,0
828,6647.24,1,0
829,686.27,1,0
830,7696.53,1,0
831,6020.34,1,0
832,1473.41,1,0
833,3465.06,1,0
834,9868.48,1,0
835,7666.7,1,0
836,2404.18,1,0
837,1975.74,1,0
838,5507.22,1,0
839,1642.29,1,0
840,4974.5,1,0
841,827.83,1,0
842,5594.4,1,0
843,5639.59,1,0
844,9291.94,1,0
845,4321.71,1,0
846,8349.59,1,0
847,8988.98,1,0
848,573.76,1,0
849,5992.81,1,0
850,5693.87,1,0
851,7853.73,1,0
852,9442.31,1,0
853,8845.52,1,0
854,9567.1,1,0
855,8869.21,1,0
856,5113.08,1,0
857,8281.19,1,0
858,1056.17,1,0
859,839.17,1,0
860,8699.94,1,0
861,1868.2,1,0
862,8352.18,1,0
863,852.0,1,0
864,7339.11,1,0
865,1181.7,1,0
866,2553.62,1,0
867,8144.14,1,0
868,8095.6,1,0
869,1639.43,1,0
870,2567.2,1,0
871,2805.98,1,0
872,8128.56,1,0
873,7006.08,1,0
874,9966.69,1,0
875,4214.01,1,0
876,8793.29,1,0
877,3035.47,1,0
878,3677.3,1,0
879,2666.95,1,0
880,1770.1,1,0
881,4355.02,1,0
882,9191.21,1,0
883,7851.45,1,0
884,4163.26,1,0
885,4294.4,1,0
886,6530.19,1,0
887,3031.41,1,0
888,508.77,1,0
889,1188.56,1,0
890,5172.21,1,0
891,9772.05,1,0
892,6545.75,1,0
893,497.27,1,0
894,3616.92,1,0
895,7924.26,1,0
896,3978.83,1,0
897,7485.38,1,0
898,9817.33,1,0
899,9009.23,1,0
900,1348.86,1,0
901,4615.59,0,1
902,782.12,1,0
903,4076.86,1,0
904,2616.33,1,0
905,6461.43,1,0
906,2944.28,1,0
907,9558.09,1,0
908,3645.42,1,0
909,7652.04,1,0
910,5704.25,1,0
911,5422.66,1,0
912,9985.1,1,0
913,1465.58,1,0
914,7208.84,1,0
915,3082.0,1,0
916,80.17,1,0
917,5184.95,1,0
918,7638.81,1,0
919,6566.82,1,0
920,7581.26,1,0
921,4643.25,1,0
922,4139.97,1,0
923,8096.75,1,0
924,9599.93,1,0
925,3257.95,1,0
926,6338.03,1,0
927,808.43,1,0
928,1255.87,1,0
929,1658.78,1,0
930,1154.03,1,0
931,5157.75,1,0
932,4695.98,1,0
933,9901.4,1,0
934,3969.76,1,0
935,992.45,1,0
936,4989.07,1,0
937,1798.22,1,0
938,5933.99,1,0
939,8574.22,1,0
940,4081.33,1,0
941,3787.55,1,0
942,8981.63,1,0
943,5478.41,1,0
944,1721.75,1,0
945,4475.47,1,0
946,2479.58,1,0
947,2165.54,1,0
948,6374.41,1,0
949,5459.19,1,0
950,146.88,1,0
951,1231.21,1,0
952,2988.99,1,0
953,8043.17,1,0
954,4123.87,1,0
955,2313.95,1,0
956,9488.87,1,0
957,6462.47,1,0
958,5380.8,1,0
959,2619.58,1,0
960,9580.94,1,0
961,8865.33,1,0
962,6215.56,1,0
963,840.14,1,0
964,9149.79,1,0
965,1751.92,1,0
966,1307.37,1,0
967,4673.14,1,0
968,8646.66,1,0
969,7087.53,1,0
970,8314.41,1,0
971,3127.29,1,0
972,3618.46,1,0
973,8438.97,1,0
974,1445.59,1,0
975,3227.82,1,0
976,2889.05,1,0
977,7338.02,1,0
978,6239.78,1,0
979,840.86,1,0
980,2279.07,1,0
981,7877.86,1,0
982,6949.88,1,0
983,1584.25,1,0
984,1053.88,1,0
985,3122.88,1,0
986,4195.17,1,0
987,7755.98,1,0
988,2404.65,1,0
989,7365.21,1,0
990,2732.55,1,0
991,5064.67,1,0
992,7788.22,1,0
993,8356.61,1,0
994,7205.82,1,0
995,1932.53,1,0
996,1384.31,1,0
997,5119.21,1,0
998,7631.18,1,0
999,9850.82,1,0
1000,9202.16,1,0
1001,8578.54,1,0
1002,5789.66,1,0
1003,2881.8,1,0
1004,4982.66,1,0
1005,7530.07,1,0
1006,596.04,1,0
1007,8190.93,1,0
1008,9393.11,1,0
1009,4972.95,1,0
1010,2680.5,1,0
1011,9090.84,1,0
1012,9750.91,1,0
1013,3266.63,1,0
1014,3977.47,1,0
1015,9884.75,1,0
1016,3878.79,1,0
1017,2304.72,1,0
1018,3947.07,1,0
1019,9669.41,1,0
1020,6654.48,1,0
1021,821.79,1,0
1022,803.26,1,0
1023,5715.72,1,0
1024,6358.46,1,0
1025,7368.31,1,0
1026,1394.97,1,0
1027,9687.9,1,0
1028,5251.89,1,0
1029,6914.41,1,0
1030,4083.11,1,0
1031,7526.98,1,0
1032,336.58,1,0
1033,8533.97,1,0
1034,4595.37,1,0
1035,6037.04,1,0
1036,9315.76,1,0
1037,9793.43,1,0
1038,7374.75,1,0
1039,6599.31,1,0
1040,1470.59,1,0
1041,4187.88,1,0
1042,4276.13,1,0
1043,1933.63,1,0
1044,6253.44,1,0
1045,8265.02,1,0
1046,5283.45,1,0
1047,9204.49,1,0
1048,2515.24,1,0
1049,5237.52,1,0
1050,276.24,1,0
1051,9105.93,1,0
1052,4291.83,1,0
1053,5804.38,1,0
1054,8543.0,1,0
1055,5923.45,1,0
1056,1042.1,1,0
1057,7854.98,1,0
1058,6575.29,1,0
1059,6704.28,1,0
1060,896.39,1,0
1061,989.24,1,0
1062,3071.0,1,0
1063,951.59,1,0
1064,5399.69,1,0
1065,647.2,1,0
1066,1912.74,1,0
1067,8263.64,1,0
1068,1998.1,1,0
1069,1769.48,1,0
1070,6436.67,1,0
1071,8298.14,1,0
1072,1620.87,1,0
1073,5005.74,1,0
1074,1753.99,1,0
1075,388.19,1,0
1076,2362.08,1,0
1077,1311.39,1,0
1078,7069.97,1,0
1079,2713.04,1,0
1080,9323.72,1,0
1081,876.89,1,0
1082,8738.11,1,0
1083,8877.92,1,0
1084,3614.54,1,0
1085,6239.84,1,0
1086,6431.65,1,0
1087,4671.18,1,0
1088,4106.58,1,0
1089,6685.71,1,0
1090,375.21,1,0
1091,6466.23,1,0
1092,3560.81,1,0
1093,5935.94,1,0
1094,8716.92,1,0
1095,3770.59,1,0
1096,3087.6,1,0
1097,924.57,1,0
1098,7727.14,1,0
1099,3236.8,1,0
